WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-003941,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),,,Aibawk,Kelsih,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER AIZAWL_IDA,2024-01-26,Action Pending,1000000,Unsanctioned
MPLADS-003948,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),Aizawl Municipal Co-Operation,17.0,,,Normal/Others,NA - Providing drains and gutters for public drainage,DEPUTY COMMISSIONER AIZAWL_IDA,2024-01-26,Action Pending,400000,Unsanctioned
MPLADS-004387,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),,,Hnahthial,Hnahthial South II,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Deputy Commissioner Hnahthial_IDA,2024-01-25,Action Pending,1000000,Unsanctioned
MPLADS-004388,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),,,Siaha,Noaotlah I,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,Deputy Commissioner Saiha_IDA,2024-01-25,Action Pending,1000000,Unsanctioned
MPLADS-004389,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),Aizawl Municipal Co-Operation,18.0,,,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER AIZAWL_IDA,2024-01-25,Action Pending,700000,Unsanctioned
MPLADS-004390,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),,,Tlangnuam,Sihphir,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DEPUTY COMMISSIONER AIZAWL_IDA,2024-01-25,Action Pending,1000000,Unsanctioned
MPLADS-016793,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),Aizawl Municipal Co-operation,19.0,,,Normal/Others,NA - Construction of Side Drain or Link Drain,DEPUTY COMMISSIONER AIZAWL_IDA,2023-12-15,Action Pending,1000000,Unsanctioned
MPLADS-016794,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),Aizawl Municipal Co-operation,12.0,,,Normal/Others,NA - Construction of Side Drain or Link Drain,DEPUTY COMMISSIONER AIZAWL_IDA,2023-12-15,Action Pending,300000,Unsanctioned
MPLADS-016795,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),Aizawl,9.0,,,Normal/Others,NA - Construction of Public Step/Passage and Hand Railing,DEPUTY COMMISSIONER AIZAWL_IDA,2023-12-15,Action Pending,1000000,Unsanctioned
MPLADS-016796,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),Aizawl Municipal Co-operation,6.0,,,Normal/Others,NA - Construction of Public Step/Passage and Hand Railing,DEPUTY COMMISSIONER AIZAWL_IDA,2023-12-15,Action Pending,1000000,Unsanctioned
MPLADS-016797,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),,,WEST PHAILENG,Damparengpui,Normal/Others,NA - Renovation of Community Hall and Public Centres,Deputy Commissioner Mamit_IDA,2023-12-15,Action Pending,500000,Unsanctioned
MPLADS-016798,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),Aizawl,12.0,,,Normal/Others,NA - Construction of Public Step/Passage and Hand Railing,DEPUTY COMMISSIONER AIZAWL_IDA,2023-12-15,Action Pending,3000000,Unsanctioned
MPLADS-016799,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),,,AIBAWK,Melriat,Normal/Others,NA - Construction of Side Drain or Link Drain and Stone Mansory,DEPUTY COMMISSIONER AIZAWL_IDA,2023-12-15,Action Pending,1500000,Unsanctioned
MPLADS-016990,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),,,East Lungdar,Khawlailung,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Serchhip_IDA,2023-12-14,Action Pending,1000000,Unsanctioned
MPLADS-017007,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),,,KHAWBUNG,Sesih,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",Deputy Commissioner Champhai_IDA,2023-12-14,Action Pending,1000000,Unsanctioned
MPLADS-017010,C Lalrosanga,Lok Sabha,Mizoram,MIZORAM (ST),Aizawl,8.0,,,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DEPUTY COMMISSIONER AIZAWL_IDA,2023-12-14,Action Pending,700000,Unsanctioned
