WORK_ID,MP_NAME,HOUSE,STATE,CONSTITUENCY,CITY,WARD,BLOCK,VILLAGE,WORK_CATEGORY,WORK_DESCRIPTION,IMPLEMENTING_AUTHORITY,RECOMMENDED_DATE,IDA_APPROVAL,ALLOCATION_AMOUNT,STATUS
MPLADS-000250,Kuruva Gorantla Madhav,Lok Sabha,Andhra Pradesh,HINDUPUR,,,Tadimarri,Kunukuntla,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DISTRICT COLLECTOR SRI SATHYA SAI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000268,Kuruva Gorantla Madhav,Lok Sabha,Andhra Pradesh,HINDUPUR,,,Ramagiri,Nasanakota,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR SRI SATHYA SAI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000269,Kuruva Gorantla Madhav,Lok Sabha,Andhra Pradesh,HINDUPUR,,,Ramagiri,Nasanakota,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR SRI SATHYA SAI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000270,Beesetti Venkata Satyavathi,Lok Sabha,Andhra Pradesh,ANAKAPALLE,,,Chodavaram,Gajapathinagaram,Normal/Others,NA - Installing tube-wells and borewells,DISTRICT COLLECTOR ANAKAPALLI_IDA,2024-03-03,Action Pending,220000,Unsanctioned
MPLADS-000271,Beesetti Venkata Satyavathi,Lok Sabha,Andhra Pradesh,ANAKAPALLE,,,Chodavaram,Govada,Normal/Others,NA - Construction of buildings for multi-gym,DISTRICT COLLECTOR ANAKAPALLI_IDA,2024-03-03,Action Pending,500000,Unsanctioned
MPLADS-000994,SHRI Kanakamedala Ravindra Kumar,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Maddipadu,Mallavaram,Normal/Others,NA - Purchase of mobile water tankers,DISTRICT COLLECTOR PRAKASAM_IDA,2024-02-24,Action Pending,763915,Unsanctioned
MPLADS-001003,SHRI Kanakamedala Ravindra Kumar,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Maddipadu,Mallavaram,Normal/Others,NA - Purchase of mobile water tankers,DISTRICT COLLECTOR PRAKASAM_IDA,2024-02-24,Action Pending,250000,Unsanctioned
MPLADS-001023,SHRI Prabhakar Reddy Vemireddy,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Pamur,Pamur (Ct),Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR PRAKASAM_IDA,2024-02-23,Action Pending,500000,Unsanctioned
MPLADS-001187,Goddeti Madhavi,Lok Sabha,Andhra Pradesh,ARAKU(ST),,,Balijipeta,Galavilli,Normal/Others,NA - Providing drains and gutters for public drainage,District Collector Parvathipuram Manyam_IDA,2024-02-19,Action Pending,400000,Unsanctioned
MPLADS-001188,Goddeti Madhavi,Lok Sabha,Andhra Pradesh,ARAKU(ST),,,Balijipeta,Galavilli,Normal/Others,NA - Providing drains and gutters for public drainage,District Collector Parvathipuram Manyam_IDA,2024-02-19,Action Pending,300000,Unsanctioned
MPLADS-001217,Adala Reddy,Lok Sabha,Andhra Pradesh,NELLORE(SC),,,Kodavalur,North Rajupalem,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR NELLORE_IDA,2024-02-19,Action Pending,500000,Unsanctioned
MPLADS-001218,SHRI Prabhakar Reddy Vemireddy,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,Nellore Municipal Corporation,Nellore (M) - Ward No.24,,,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR NELLORE_IDA,2024-02-19,Action Pending,500000,Unsanctioned
MPLADS-001230,Goddeti Madhavi,Lok Sabha,Andhra Pradesh,ARAKU(ST),,,Salur,Saluru Village,Normal/Others,NA - Purchase of equipment for crèches and anganwadies,District Collector Parvathipuram Manyam_IDA,2024-02-19,Action Pending,3044160,Unsanctioned
MPLADS-001329,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Tadipatri,Bhogasamudram,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,500000,Unsanctioned
MPLADS-001330,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Settur,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,500000,Unsanctioned
MPLADS-001331,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Guntakal,Guntakal (R),Normal/Others,NA - Construction of buildings for community cultural activities,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001332,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,Kalyandurg,Kalyandurg (CT) - Ward No.8,,,Normal/Others,"NA - Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,495000,Unsanctioned
MPLADS-001335,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Settur,Normal/Others,NA - Improvement of electricity distribution infrastructure,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,240000,Unsanctioned
MPLADS-001338,SHRI Venkataramana Rao Mopidevi,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Repalle,Peteru,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,DISTRICT COLLECTOR BAPATLA_IDA,2024-02-18,Action Pending,700000,Unsanctioned
MPLADS-001339,SHRI Venkataramana Rao Mopidevi,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Malikipuram,Malikipuram,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA,2024-02-18,Action Pending,1500000,Unsanctioned
MPLADS-001340,SHRI Venkataramana Rao Mopidevi,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,Repalle,Repalle (M) - Ward No.3,,,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR BAPATLA_IDA,2024-02-18,Action Pending,1000000,Unsanctioned
MPLADS-001341,SHRI Venkataramana Rao Mopidevi,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Repalle,Bethapudi,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR BAPATLA_IDA,2024-02-18,Action Pending,1000000,Unsanctioned
MPLADS-001342,SHRI Venkataramana Rao Mopidevi,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Panyam,Balapanur,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR NANDYAL_IDA,2024-02-18,Action Pending,500000,Unsanctioned
MPLADS-001343,SHRI Venkataramana Rao Mopidevi,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Orvakal,Uyyalawada,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR KURNOOL_IDA,2024-02-18,Action Pending,500000,Unsanctioned
MPLADS-001344,SHRI Venkataramana Rao Mopidevi,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Orvakal,Uyyalawada,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR KURNOOL_IDA,2024-02-18,Action Pending,500000,Unsanctioned
MPLADS-001345,SHRI Venkataramana Rao Mopidevi,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Orvakal,Uyyalawada,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR KURNOOL_IDA,2024-02-18,Action Pending,500000,Unsanctioned
MPLADS-001356,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Lakshmanpalle,Normal/Others,NA - Improvement of electricity distribution infrastructure,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,500000,Unsanctioned
MPLADS-001357,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,West Kodipalle,Normal/Others,NA - Improvement of electricity distribution infrastructure,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,425000,Unsanctioned
MPLADS-001359,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,Brahmasamudram,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,150000,Unsanctioned
MPLADS-001360,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,Brahmasamudram,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001361,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Settur,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001362,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Khairevu,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001363,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Settur,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001364,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Chintarlapalle,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001365,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Gulyam,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001366,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Kambadur,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,200000,Unsanctioned
MPLADS-001367,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Kambadur,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001368,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Kambadur,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001369,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Kambadur,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001370,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Kambadur,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001371,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Pallur,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001379,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,Vepalaparthy,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001380,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,Bhairasamudram,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001381,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,Brahmasamudram,Normal/Others,NA - Improvement of electricity distribution infrastructure,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,395000,Unsanctioned
MPLADS-001382,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,Theetakal,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,150000,Unsanctioned
MPLADS-001383,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,Brahmasamudram,Normal/Others,NA - Improvement of electricity distribution infrastructure,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,460000,Unsanctioned
MPLADS-001384,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kalyanadurg,Kalyandurg (Rural),Normal/Others,NA - Improvement of electricity distribution infrastructure,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,326000,Unsanctioned
MPLADS-001385,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,Kalyandurg,Kalyandurg (CT) - Ward No.20,,,Normal/Others,NA - Street lights,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,1011000,Unsanctioned
MPLADS-001386,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,Kalyandurg,Kalyandurg (CT) - Ward No.16,,,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,293000,Unsanctioned
MPLADS-001387,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,Kalyandurg,Kalyandurg (CT) - Ward No.10,,,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,470000,Unsanctioned
MPLADS-001388,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,Kalyandurg,Kalyandurg (CT) - Ward No.19,,,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,490000,Unsanctioned
MPLADS-001389,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,Kalyandurg,Kalyandurg (CT) - Ward No.12,,,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,497000,Unsanctioned
MPLADS-001390,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Settur,Normal/Others,NA - Street lights,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,1376000,Unsanctioned
MPLADS-001391,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kundurpi,Kundurpi,Normal/Others,NA - Street lights,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,1118000,Unsanctioned
MPLADS-001392,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Kambadur,Normal/Others,NA - Street lights,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,1032000,Unsanctioned
MPLADS-001393,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kalyanadurg,Kalyandurg (Rural),Normal/Others,NA - Street lights,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,1462000,Unsanctioned
MPLADS-001394,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,Brahmasamudram,Normal/Others,NA - Street lights,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,1376000,Unsanctioned
MPLADS-001395,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kalyanadurg,Palavoy,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,250000,Unsanctioned
MPLADS-001396,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kalyanadurg,Muddinayanapalle,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,250000,Unsanctioned
MPLADS-001397,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kundurpi,Kundurpi,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,300000,Unsanctioned
MPLADS-001398,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kundurpi,Kariganipalle,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,120000,Unsanctioned
MPLADS-001399,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kundurpi,Kundurpi,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,120000,Unsanctioned
MPLADS-001400,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kundurpi,Kundurpi,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001401,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kundurpi,Kundurpi,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-18,Action Pending,220000,Unsanctioned
MPLADS-001682,Pocha Brahmananda Reddy,Lok Sabha,Andhra Pradesh,NANDYAL,,,Dornipadu,Dornipadu,Normal/Others,NA - Installing tube-wells and borewells,DISTRICT COLLECTOR NANDYAL_IDA,2024-02-16,Action Pending,447000,Unsanctioned
MPLADS-001714,SHRI Kanakamedala Ravindra Kumar,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Kankipadu,Velpuru,Normal/Others,NA - Renovation of ponds and lakes,DISTRICT COLLECTOR KRISHNA_IDA,2024-02-15,Action Pending,2500000,Unsanctioned
MPLADS-001718,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Settur,Normal/Others,NA - Improvement of electricity distribution infrastructure,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-15,Action Pending,291000,Unsanctioned
MPLADS-001719,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kalyanadurg,Kalyandurg (Rural),Normal/Others,NA - Improvement of electricity distribution infrastructure,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-15,Action Pending,116000,Unsanctioned
MPLADS-001720,Shri Masthan Rao Beeda,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,Alluru,Ward No 3,,,Normal/Others,NA - Providing drains and gutters for public drainage,DISTRICT COLLECTOR NELLORE_IDA,2024-02-15,Action Pending,620000,Unsanctioned
MPLADS-001721,Shri Masthan Rao Beeda,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Allur,Isakapalle,Normal/Others,NA - Installing community drinking water plants,DISTRICT COLLECTOR NELLORE_IDA,2024-02-15,Action Pending,900000,Unsanctioned
MPLADS-001722,Shri Masthan Rao Beeda,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Dagadarthi,Pedaputhedu,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,DISTRICT COLLECTOR NELLORE_IDA,2024-02-15,Action Pending,500000,Unsanctioned
MPLADS-001723,Kuruva Gorantla Madhav,Lok Sabha,Andhra Pradesh,HINDUPUR,,,Ramagiri,Nasanakota,Normal/Others,NA - Providing supply pipelines for drinking water,DISTRICT COLLECTOR SRI SATHYA SAI_IDA,2024-02-15,Action Pending,1000000,Unsanctioned
MPLADS-001725,Shri Masthan Rao Beeda,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Kavali,Gowravaram,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR NELLORE_IDA,2024-02-15,Action Pending,300000,Unsanctioned
MPLADS-001726,Shri Masthan Rao Beeda,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Dagadarthi,Pedaputhedu,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR NELLORE_IDA,2024-02-15,Action Pending,500000,Unsanctioned
MPLADS-001972,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,Anantapur,Anantapur (M) - Ward No.10,,,Normal/Others,"NA - Purchase of ambulances (Four, three and two wheelers)",DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,1200000,Unsanctioned
MPLADS-001979,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kundurpi,Kundurpi,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-001981,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Kambadur,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-001982,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Settur,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-002008,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Settur,Normal/Others,NA - Construction of toilet blocks,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-002010,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,Brahmasamudram,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-002011,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kalyanadurg,Kalyandurg (Rural),Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-002012,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Settur,Yatakal,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-002013,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kalyanadurg,Hulikal,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-002014,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kalyanadurg,Mudigal,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-002015,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Kambadur,Normal/Others,NA - Construction of toilet blocks,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-002017,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kundurpi,Kundurpi,Normal/Others,NA - Construction of toilet blocks,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,180000,Unsanctioned
MPLADS-002018,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kalyanadurg,Kalyandurg (Rural),Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,360000,Unsanctioned
MPLADS-002019,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Brahmasamudram,Vepalaparthy,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,360000,Unsanctioned
MPLADS-002020,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Mulakanur,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,360000,Unsanctioned
MPLADS-002021,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kalyanadurg,Golla,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,360000,Unsanctioned
MPLADS-002022,Talari Rangaiah,Lok Sabha,Andhra Pradesh,ANANTAPUR,,,Kambadur,Kambadur,Normal/Others,NA - Construction of public toilets and bathrooms,DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-11,Action Pending,360000,Unsanctioned
MPLADS-002244,SHRI Venkataramana Rao Mopidevi,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,Chirala,Chirala (M) - Ward No.7,,,Normal/Others,NA - Construction of additional rooms and halls in the existing public and community building,DISTRICT COLLECTOR BAPATLA_IDA,2024-02-10,Action Pending,2000000,Unsanctioned
MPLADS-002265,Pocha Brahmananda Reddy,Lok Sabha,Andhra Pradesh,NANDYAL,,,Banaganapalli,Meerapuram,Normal/Others,NA - Installing tube-wells and borewells,DISTRICT COLLECTOR NANDYAL_IDA,2024-02-10,Action Pending,167000,Unsanctioned
MPLADS-002691,SHRI Parimal Nathwani,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Kalasapadu,Tellapadu,Normal/Others,NA - Establishing public lift irrigation projects,DISTRICT COLLECTOR CUDDAPAH_IDA,2024-02-08,Action Pending,50000000,Unsanctioned
MPLADS-002706,SHRI Ayodhya Rami Reddy Alla,Rajya Sabha,Andhra Pradesh,Sitting Rajya Sabha,,,Singanamala,Singanamala,Normal/Others,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",DISTRICT COLLECTOR ANANTAPUR_IDA,2024-02-08,Action Pending,1000000,Unsanctioned
MPLADS-002707,Maddila Gurumoorthy,Lok Sabha,Andhra Pradesh,TIRUPATI(SC),Tirupati,Tirupati (M) - Ward No.2,,,Normal/Others,NA - Construction of community centers and community halls,DISTRICT COLLECTOR TIRUPATI_IDA,2024-02-08,Action Pending,1000000,Unsanctioned
MPLADS-002709,Maddila Gurumoorthy,Lok Sabha,Andhra Pradesh,TIRUPATI(SC),Naidupeta,Naidupet Ward No. 19,,,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,DISTRICT COLLECTOR TIRUPATI_IDA,2024-02-08,Action Pending,500000,Unsanctioned
